hotel_name,brand,city,state,country,opening_date,room_count,hotel_type,contact_name,contact_title,contact_email,contact_phone,source_url,source_name,scraped_at,key_insights,investment_amount,amenities,confidence_score
Motto by Hilton Nashville Downtown,Hilton,Nashville,Tennessee,USA,,260,,,,,,https://www.hoteldive.com/topic/development/,Hotel Dive,2026-01-28T13:28:19.455434,sold to Apple Hospitality for $98M,$98M,,0.62
Omni Fort Lauderdale,Omni Hotels & Resorts,Fort Lauderdale,Florida,USA,,801,flagship hotel,,,,,https://www.hoteldive.com/topic/development/,Hotel Dive,2026-01-28T13:28:19.455434,"waterfront property, first Omni hotel in South Florida in over 20 years",,,0.6
Dolly Parton's first Nashville hotel,,Nashville,Tennessee,USA,2026,,,,,,,https://www.hoteldive.com/topic/development/,Hotel Dive,2026-01-28T13:28:19.455434,"new hotel, Dolly Parton's first hotel",,,0.55
Delano Miami Beach,,Miami Beach,Florida,USA,2026,,,,,,,https://www.hoteldive.com/topic/development/,Hotel Dive,2026-01-28T13:28:19.455434,reimagined icon,,,0.55
Ruby Hotels,IHG,Chicago,Illinois,USA,,,urban lifestyle hotel,Jolyon Bulley,IHG Americas CEO,,,https://www.hoteldive.com/topic/development/,Hotel Dive,2026-01-28T13:28:19.455434,first US Ruby Hotels property,,,0.55
Ritz-Carlton,Ritz-Carlton,Indianapolis,Indiana,USA,,,luxury hotel,,,,,https://www.hoteldive.com/topic/development/,Hotel Dive,2026-01-28T13:28:19.455434,"new luxury hotel, part of mixed-use redevelopment, targeting business travelers",$3 billion,,0.52
One Beverly Hills,Aman Group,Beverly Hills,California,USA,,,luxury hotel,,,,,https://www.hoteldive.com/topic/development/,Hotel Dive,2026-01-28T13:28:19.455434,"luxury development, includes two residential towers",$10B,,0.52
The Heid Lofts,"Reside, a Wyndham Residence",Philadelphia,Pennsylvania,USA,,,apart-hotel,,,,,https://www.hoteldive.com/topic/development/,Hotel Dive,2026-01-28T13:28:19.455434,"apart-hotel, partnership between Reside and Wyndham",,,0.5
Hotel Daphne,Bunkhouse Hotels,Houston,Texas,USA,,,boutique hotel,,,,,https://www.hoteldive.com/topic/development/,Hotel Dive,2026-01-28T13:28:19.455434,"new boutique hotel, part of Hyatt's portfolio",,,0.5
Six Senses Camp Korongo,Six Senses,,Utah,USA,,,ultra-luxury resort,,,,,https://www.hoteldive.com/topic/development/,Hotel Dive,2026-01-28T13:28:19.455434,"new resort, ultra-luxury experiential travel",,,0.4
LivAway Suites,LivAway,,,USA,,,extended stay hotel,,,,,https://www.hoteldive.com/topic/development/,Hotel Dive,2026-01-28T13:28:19.455434,breaking ground on 4th Phoenix-area location,,,0.4
