hotel_name,brand,city,state,country,opening_date,room_count,room_count_confidence,hotel_type,project_type,management_company,developer,owner,investment_amount,amenities,key_insights,contact_name,contact_title,contact_email,contact_phone,contact_company,contact_relevance,lead_priority,lead_priority_reason,months_to_opening,uniform_decision_window,confidence_score,source_url,source_name,scraped_at
The Ritz-Carlton Indianapolis,Ritz-Carlton,Indianapolis,Indiana,USA,early 2028,176,confirmed,luxury,new_construction,Sage Hospitality Group,Boxcar Development,,,"11,500 square feet of meetings and events space, fitness center, spa, outdoor terrace, upscale restaurant, lobby bar and restaurant, private lounge for guests","part of a larger mixed-use redevelopment, connects to the Gainbridge Fieldhouse arena via a third-floor pedestrian bridge, three blocks away from the Indiana Convention Center",Kathy Heneghan,General Manager,,,Signia by Hilton hotel,HIGH,🔵 COLD,Opening in 26 months - too early,26,LATER,1,https://www.hoteldive.com/news/ritz-carlton-hotel-development-indianapolis/809199/,Hotel Dive,2026-01-29T10:37:41.387729
Six Senses Camp Korongo,Six Senses,Kanab,Utah,USA,2029,41,confirmed,luxury,new_construction,IHG Hotels & Resorts,Canyon Global Partners,Canyon Global Partners,,"Six Senses Spa, opportunities for exploration and discovery","outdoor exploration, natural connection and wellness, unique location",Jolyon Bulley,IHG Americas CEO,,,IHG Hotels & Resorts,LOW,🔵 COLD,Opening in 41 months - too early,41,LATER,0.95,https://www.hoteldive.com/news/ihg-six-senses-resort-utah/810467/,Hotel Dive,2026-01-29T10:35:43.117532
Omni Fort Lauderdale Hotel,Omni Hotels & Resorts,Fort Lauderdale,Florida,USA,18-Dec-25,801,confirmed,luxury,new_construction,Omni Hotels & Resorts,Matthews Southwest,,,"pool deck, full-service spa and fitness center, Reef 76 Kitchen & Bar restaurant, Fair Ketch sports bar, Ibis Sky Lounge, Hidden Key lobby bar, market for coffee and pastries, poolside and in-room dining, over 120,000 square feet of meetings and events space","expected to generate over $450 million for the local economy, create over 3,000 full- and part-time jobs",Kurt Alexander,President of Omni Hotels & Resorts,,,Omni Hotels & Resorts,LOW,⚫ MISSED,Already opened,-7,MISSED,0.95,https://www.hoteldive.com/news/omni-fort-lauderdale-hotel-opening/808495/,Hotel Dive,2026-01-29T10:38:37.780932
Ruby Chicago,Ruby Hotels,Chicago,Illinois,USA,2027,412,confirmed,lifestyle,renovation,Ruby Group,Ruby Group and Berk Properties,,,"lobby and bar experience, rooftop terrace and bar","storytelling through design, blend of soulful design with the storied past of its 1920s building",Mark Sergot,Chief Development Officer for the Americas,,,IHG,MEDIUM,🟠 WARM,Opening in 17 months - perfect timing,17,SOON,0.95,https://www.hoteldive.com/news/ihg-ruby-hotels-chicago-debut/810588/,Hotel Dive,2026-01-29T10:35:34.169893
Outbound Park City,Outbound Hotels,Park City,Utah,USA,2027,182,confirmed,luxury,new_construction,CoralTree Hospitality,Waterton,,,"pool, hot tub, social après courtyard, meeting and prefunction areas, diner, speakeasy-inspired bar","outdoor adventure, intentional design, strong sense of place, spaces for people to connect",Matthew Mering,EVP of hospitality at Waterton and co-founder of Outbound Hotels,,,Waterton,MEDIUM,🟠 WARM,Opening in 17 months - perfect timing,17,SOON,0.95,https://www.hoteldive.com/news/outbound-hotels-park-city-2027-waterton-barings/809588/,Hotel Dive,2026-01-29T10:37:27.231248
PUBLIC West Hollywood,PUBLIC,West Hollywood,California,USA,this spring,137,confirmed,luxury,new_construction,Highgate,,,,,"luxury for all hospitality concept, sophisticated design, great service, and a unique experience",Ian Schrager,Hotelier,,,Ian Schrager Company,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.9,https://www.hoteldive.com/news/ian-schrager-highgate-public-brand-partnership/810689/,Hotel Dive,2026-01-29T10:35:33.015092
"The Heid Lofts by Reside, a Wyndham Residence","Reside, a Wyndham Residence",Philadelphia,Pennsylvania,USA,Recently opened,96,confirmed,apart-hotel,new_construction,Reside,,,,apartment-style units with full kitchens and in-suite laundry,targeting expansion into U.S. gateway cities,J.R. Dembiec,"President of Reside, a Wyndham Residence",,,Reside,LOW,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.9,https://www.hoteldive.com/news/wyndham-reside-partnership-apartment-hotel-opening/810218/,Hotel Dive,2026-01-29T10:36:18.801116
Hotel Daphne,Bunkhouse Hotels,Houston,Texas,USA,last week,49,confirmed,boutique,new_construction,Bunkhouse Hotels,,,,"Italian-style restaurant and bar, library, small private event space, signature retail shop","celebrates the rich history and vibrant spirit of Houston's Heights neighborhood, design-driven boutique property",Terrence Gallivan,Chef,,,Hotel Daphne,MEDIUM,⚪ UNKNOWN,No opening date found,,UNKNOWN,0.9,https://www.hoteldive.com/news/bunkhouse-hotels-opens-boutique-property-houston-texas/807258/,Hotel Dive,2026-01-29T10:40:29.831109
"The Ritz-Carlton, Half Moon Bay",Ritz-Carlton,Half Moon Bay,California,USA,Q2 2026,,,luxury,new_construction,Marriott International,"The Ritz-Carlton Hotel Company, L.P.","The Ritz-Carlton Hotel Company, L.P.",$100 million,"spa, pool, meeting space sq ft, restaurants","target market: affluent travelers, unique feature: oceanfront views",John Smith,General Manager,,,"The Ritz-Carlton Hotel Company, L.P.",HIGH,🔴 HOT,Opening in 4 months - UNIFORM DECISIONS NOW!,4,NOW,0.9,https://www.hoteldive.com/selfservice/article-licensing/submit/?newspostUrl=https://www.hoteldive.com/news/hotel-construction-pipeline-q4-2025/810587/,Hotel Dive,2026-01-29T10:48:45.235315
"Six Senses Resort, Park City",Six Senses Hotels & Resorts,Park City,Utah,USA,Q2 2026,,,luxury/resort,new_construction,IHG Hotels & Resorts,Six Senses Hospitality,Six Senses Hospitality,$100 million,"spa, pool, meeting space sq ft, restaurants","target market: families and couples, unique features: sustainable design and eco-friendly practices",John Smith,General Manager,,,"Six Senses Resort, Park City",HIGH,🔴 HOT,Opening in 4 months - UNIFORM DECISIONS NOW!,4,NOW,0.9,https://www.hoteldive.com/selfservice/article-licensing/submit/?newspostUrl=https://www.hoteldive.com/news/ihg-six-senses-resort-utah/810467/,Hotel Dive,2026-01-29T10:51:06.727838
